model,dataset,MAE,RMSE,WAPE,WAPE_percent,R2
LightGBM,old_test,227.56352305361443,688.5776672607416,0.455375802119535,45.5375802119535,0.5108795427966486
Final_LightGBM_Log_Tuned_1,test,266.1869893881886,755.7439300646002,0.5146159292024226,51.46159292024226,0.44235983757866704
