model,MAE,RMSE,WAPE,WAPE_percent,R2
LightGBM,227.56352305361443,688.5776672607416,0.455375802119535,45.5375802119535,0.5108795427966486
Random_Forest,228.09284769027911,694.9119411092416,0.45643503001233754,45.64350300123375,0.5018392458109235
XGBoost,230.88311081471295,704.8495166212339,0.4620186063753835,46.20186063753835,0.4874894925354508
Baseline_Lag_1,250.893348197696,821.5377615004456,0.5020609548880287,50.20609548880287,0.3037502987130265
